date,factor_id,score,session
2024,1,0,2
2024,2,1,2
2024,3,2,2
2024,4,1,2
2024,5,2,2
2024,6,1,2
2024,7,0,2
2024,8,2,2
2024,9,3,2
2024,10,1,2
2024,11,1,2
2024,12,3,2
2024,13,2,2
2024,14,2,2
2024,15,0,2
2024,16,2,2
2024,17,0,2
2024,18,0,2
2024,19,2,2
2024,20,1,2
2024,21,0,2
2024,22,0,2
2024,23,0,2
2024,24,0,2
2024,25,0,2
2024,26,2,2
2024,27,1,2
2024,28,0,2
2024,29,1,2
2024,30,1,2
2024,31,1,2
2024,32,1,2
2024,33,0,2
2024,34,0,2
2024,35,0,2
2024,36,0,2
2024,37,1,2
2024,38,0,2
2024,39,0,2
2024,40,0,2
2024,41,0,2
2024,42,2,2
2024,43,2,2
2024,44,0,2
2024,45,2,2
