date,factor_id,score,target,session
2024,1,0,0,2
2024,2,0,0,2
2024,3,0,0,2
2024,4,0,0,2
2024,5,0,0,2
2024,6,4,2,2
2024,7,0,0,2
2024,8,0,0,2
2024,9,2,2,2
2024,10,0,0,2
2024,11,1,0,2
2024,12,0,0,2
2024,13,0,0,2
2024,14,0,0,2
2024,15,2,2,2
2024,16,4,3,2
2024,17,2,1,2
2024,18,0,0,2
2024,19,4,2,2
2024,20,1,1,2
2024,21,2,1,2
2024,22,1,1,2
2024,23,2,1,2
2024,24,2,1,2
2024,25,1,1,2
2024,26,2,1,2
2024,27,3,1,2
2024,28,0,0,2
2024,29,2,1,2
2024,30,0,0,2
2024,31,1,1,2
2024,32,2,2,2
2024,33,1,1,2
2024,34,2,1,2
2024,35,2,1,2
2024,36,0,0,2
2024,37,0,0,2
2024,38,2,2,2
2024,39,0,0,2
2024,40,1,1,2
2024,41,3,2,2
2024,42,3,2,2
2024,43,1,1,2
2024,44,3,1,2
2024,45,4,2,2
2024,1,0,0,1
2024,2,0,0,1
2024,3,0,0,1
2024,4,1,0,1
2024,5,0,0,1
2024,6,1,0,1
2024,7,0,0,1
2024,8,0,0,1
2024,9,0,0,1
2024,10,1,0,1
2024,11,0,0,1
2024,12,1,0,1
2024,13,0,0,1
2024,14,0,0,1
2024,15,0,0,1
2024,16,0,0,1
2024,17,0,0,1
2024,18,2,0,1
2024,19,1,0,1
2024,20,1,0,1
2024,21,1,0,1
2024,22,0,0,1
2024,23,2,0,1
2024,24,0,0,1
2024,25,2,0,1
2024,26,1,0,1
2024,27,1,0,1
2024,28,3,0,1
2024,29,1,0,1
2024,30,2,0,1
2024,31,0,0,1
2024,32,1,0,1
2024,33,1,0,1
2024,34,0,0,1
2024,35,0,0,1
2024,36,2,0,1
2024,37,0,0,1
2024,38,0,0,1
2024,39,0,0,1
2024,40,0,0,1
2024,41,0,0,1
2024,42,2,0,1
2024,43,2,0,1
2024,44,0,0,1
2024,45,2,0,1
2024,1,0,0,3
2024,2,0,0,3
2024,3,0,0,3
2024,4,1,0,3
2024,5,1,0,3
2024,6,1,0,3
2024,7,0,0,3
2024,8,1,0,3
2024,9,2,0,3
2024,10,1,0,3
2024,11,1,0,3
2024,12,2,0,3
2024,13,1,0,3
2024,14,1,0,3
2024,15,0,0,3
2024,16,1,0,3
2024,17,0,0,3
2024,18,0,0,3
2024,19,3,0,3
2024,20,1,0,3
2024,21,1,0,3
2024,22,2,0,3
2024,23,1,0,3
2024,24,0,0,3
2024,25,1,0,3
2024,26,2,0,3
2024,27,1,0,3
2024,28,0,0,3
2024,29,1,0,3
2024,30,0,0,3
2024,31,1,0,3
2024,32,1,0,3
2024,33,1,0,3
2024,34,0,0,3
2024,35,0,0,3
2024,36,0,0,3
2024,37,0,0,3
2024,38,0,0,3
2024,39,0,0,3
2024,40,0,0,3
2024,41,1,0,3
2024,42,0,0,3
2024,43,0,0,3
2024,44,0,0,3
2024,45,2,0,3
